Active,Type ,Scale,Scale_Name,Nominal_api_mg,Nominal_tablet_mass_mg
5.479603291,1,0,Full,5,90
5.482796669,1,0,Full,5,90
5.477777958,1,0,Full,5,90
5.384615421,1,0,Full,5,90
5.373134136,1,0,Full,5,90
5.463576317,1,0,Full,5,90
5.544332027,1,0,Full,5,90
4.610244751,1,0,Full,5,90
4.849785328,1,0,Full,5,90
4.715083599,1,0,Full,5,90
5.286486626,1,1,Pilot,5,90
5.252416611,1,1,Pilot,5,90
5.494623661,1,1,Pilot,5,90
5.496264458,1,1,Pilot,5,90
5.72949934,1,1,Pilot,5,90
5.569755077,1,1,Pilot,5,90
5.236558914,1,1,Pilot,5,90
5.381310463,1,1,Pilot,5,90
5.300429344,1,1,Pilot,5,90
5.606874466,1,1,Pilot,5,90
5.122767925,1,1,Pilot,5,90
5.473908424,1,1,Pilot,5,90
5.384615421,1,1,Pilot,5,90
5.631067753,1,1,Pilot,5,90
5.599571705,1,1,Pilot,5,90
5.341278553,1,1,Pilot,5,90
5.838641167,1,1,Pilot,5,90
5.506937027,1,1,Pilot,5,90
5.370569229,1,1,Pilot,5,90
5.547210217,1,1,Pilot,5,90
5.602988243,1,1,Pilot,5,90
5.20430088,1,1,Pilot,5,90
5.574468136,1,1,Pilot,5,90
5.368983746,1,1,Pilot,5,90
5.425188541,1,1,Pilot,5,90
5.498392105,1,1,Pilot,5,90
5.281615257,1,1,Pilot,5,90
5.654506207,1,1,Pilot,5,90
5.624332905,1,1,Pilot,5,90
5.406283855,1,1,Pilot,5,90
4.851485252,1,2,Lab,5,90
4.835526466,1,2,Lab,5,90
4.743169308,1,2,Lab,5,90
4.758241653,1,2,Lab,5,90
4.746695995,1,2,Lab,5,90
4.753559589,1,2,Lab,5,90
4.815217495,1,2,Lab,5,90
4.852780819,1,2,Lab,5,90
4.761904716,1,2,Lab,5,90
4.847494602,1,2,Lab,5,90
4.972914219,1,2,Lab,5,90
4.989177704,1,2,Lab,5,90
4.896401405,1,2,Lab,5,90
4.835526466,1,2,Lab,5,90
4.918743134,1,2,Lab,5,90
4.929270744,1,2,Lab,5,90
4.924242496,1,2,Lab,5,90
4.903017044,1,2,Lab,5,90
4.890350819,1,2,Lab,5,90
4.879912853,1,2,Lab,5,90
6.065573692,1,2,Lab,5,90
6.036916256,1,2,Lab,5,90
6.028138638,1,2,Lab,5,90
6.167922497,1,2,Lab,5,90
6.0765028,1,2,Lab,5,90
6.194594383,1,2,Lab,5,90
6.043478489,1,2,Lab,5,90
6.136363506,1,2,Lab,5,90
6.163043499,1,2,Lab,5,90
6.229685783,1,2,Lab,5,90
8.082408905,2,0,Full,10,125
8.003170013,2,0,Full,10,125
8.145161629,2,0,Full,10,125
8,2,0,Full,10,125
8.40672493,2,0,Full,10,125
7.587859631,2,0,Full,10,125
8.037824631,2,0,Full,10,125
7.880220413,2,0,Full,10,125
7.03437233,2,0,Full,10,125
7.369255066,2,0,Full,10,125
8.253205299,2,0,Full,10,125
8.247422218,2,0,Full,10,125
8.082408905,2,0,Full,10,125
8.031496048,2,0,Full,10,125
8.044163704,2,0,Full,10,125
7.942811966,2,0,Full,10,125
8.101668358,2,0,Full,10,125
7.442596912,2,0,Full,10,125
6.995230675,2,0,Full,10,125
7.363420486,2,0,Full,10,125
7.811291695,2,1,Pilot,10,125
7.620528698,2,1,Pilot,10,125
7.746479034,2,1,Pilot,10,125
7.627118587,2,1,Pilot,10,125
7.969348431,2,1,Pilot,10,125
7.846153736,2,1,Pilot,10,125
7.849293709,2,1,Pilot,10,125
8.307453156,2,1,Pilot,10,125
8.039815903,2,1,Pilot,10,125
8.033664703,2,1,Pilot,10,125
7.811291695,2,1,Pilot,10,125
7.817337513,2,1,Pilot,10,125
8.101851463,2,1,Pilot,10,125
8.204334259,2,1,Pilot,10,125
7.947530746,2,1,Pilot,10,125
7.846153736,2,1,Pilot,10,125
7.92778635,2,1,Pilot,10,125
7.913110733,2,1,Pilot,10,125
7.704160213,2,1,Pilot,10,125
8.095604897,2,1,Pilot,10,125
8.066970825,2,1,Pilot,10,125
8.093384743,2,1,Pilot,10,125
7.91925478,2,1,Pilot,10,125
8.135072708,2,1,Pilot,10,125
8.095604897,2,1,Pilot,10,125
7.60279274,2,1,Pilot,10,125
8.40336132,2,1,Pilot,10,125
8.039815903,2,1,Pilot,10,125
7.925407887,2,1,Pilot,10,125
8.230769157,2,1,Pilot,10,125
6.656225681,2,2,Lab,10,125
6.741572857,2,2,Lab,10,125
6.80218935,2,2,Lab,10,125
6.708268166,2,2,Lab,10,125
6.752411366,2,2,Lab,10,125
6.682966709,2,2,Lab,10,125
6.814579964,2,2,Lab,10,125
6.645569801,2,2,Lab,10,125
6.823720455,2,2,Lab,10,125
6.682389736,2,2,Lab,10,125
8.520900726,2,2,Lab,10,125
8.497245789,2,2,Lab,10,125
8.48249054,2,2,Lab,10,125
8.709176064,2,2,Lab,10,125
8.594377518,2,2,Lab,10,125
8.481421471,2,2,Lab,10,125
8.624897957,2,2,Lab,10,125
8.573655128,2,2,Lab,10,125
8.525896072,2,2,Lab,10,125
8.562196732,2,2,Lab,10,125
9.786184311,2,2,Lab,10,125
9.069021225,2,2,Lab,10,125
9.201954842,2,2,Lab,10,125
9.10505867,2,2,Lab,10,125
9.133858681,2,2,Lab,10,125
9.362388611,2,2,Lab,10,125
9.197194099,2,2,Lab,10,125
9.098228455,2,2,Lab,10,125
9.210526466,2,2,Lab,10,125
9.032773972,2,2,Lab,10,125
7.964601994,3,0,Full,15,188
8.089770317,3,0,Full,15,188
8.109503746,3,0,Full,15,188
8.0593853,3,0,Full,15,188
8.31533432,3,0,Full,15,188
7.799145222,3,0,Full,15,188
7.721587658,3,0,Full,15,188
6.964091301,3,0,Full,15,188
7.010869503,3,0,Full,15,188
6.929637432,3,0,Full,15,188
8.169761658,3,0,Full,15,188
8.141403198,3,0,Full,15,188
8.102457047,3,0,Full,15,188
8.579088211,3,0,Full,15,188
8.100858688,3,0,Full,15,188
8.035251617,3,0,Full,15,188
8.162190437,3,0,Full,15,188
7.786259651,3,0,Full,15,188
7.300420284,3,0,Full,15,188
7.777194023,3,0,Full,15,188
7.836990833,3,1,Pilot,15,188
7.676240444,3,1,Pilot,15,188
7.819782734,3,1,Pilot,15,188
7.743934155,3,1,Pilot,15,188
8.113695145,3,1,Pilot,15,188
8.119434357,3,1,Pilot,15,188
8.074534416,3,1,Pilot,15,188
8.368201256,3,1,Pilot,15,188
8.229166985,3,1,Pilot,15,188
7.9069767,3,1,Pilot,15,188
7.860489368,3,1,Pilot,15,188
8.289885521,3,1,Pilot,15,188
8.151609421,3,1,Pilot,15,188
7.728459358,3,1,Pilot,15,188
8.00415802,3,1,Pilot,15,188
8.026928902,3,1,Pilot,15,188
8.285861969,3,1,Pilot,15,188
7.911065102,3,1,Pilot,15,188
8.081335068,3,1,Pilot,15,188
8.050183296,3,1,Pilot,15,188
8.010471344,3,1,Pilot,15,188
7.90289259,3,1,Pilot,15,188
8.429319382,3,1,Pilot,15,188
7.75234127,3,1,Pilot,15,188
7.824726105,3,1,Pilot,15,188
7.810894012,3,1,Pilot,15,188
8.051947594,3,1,Pilot,15,188
8.006278992,3,1,Pilot,15,188
7.639978886,3,1,Pilot,15,188
8.008320808,3,1,Pilot,15,188
6.707657814,3,2,Lab,15,188
6.704781532,3,2,Lab,15,188
6.666666508,3,2,Lab,15,188
6.694343567,3,2,Lab,15,188
6.808732033,3,2,Lab,15,188
6.729758263,3,2,Lab,15,188
6.726695061,3,2,Lab,15,188
6.618030071,3,2,Lab,15,188
6.645898342,3,2,Lab,15,188
6.733828068,3,2,Lab,15,188
8.497078896,3,2,Lab,15,188
8.627038002,3,2,Lab,15,188
8.480944633,3,2,Lab,15,188
8.506114006,3,2,Lab,15,188
8.496042252,3,2,Lab,15,188
8.38744545,3,2,Lab,15,188
8.71848774,3,2,Lab,15,188
8.447613716,3,2,Lab,15,188
8.527542114,3,2,Lab,15,188
8.31533432,3,2,Lab,15,188
9.271523476,3,2,Lab,15,188
9.227467537,3,2,Lab,15,188
9.062979698,3,2,Lab,15,188
9.03679657,3,2,Lab,15,188
9.161894798,3,2,Lab,15,188
9.143156052,3,2,Lab,15,188
9.204368591,3,2,Lab,15,188
9.047365189,3,2,Lab,15,188
9.216101646,3,2,Lab,15,188
9.032258034,3,2,Lab,15,188
8.129755974,4,0,Full,20,250
8.310028076,4,0,Full,20,250
8.434221268,4,0,Full,20,250
8.33002758,4,0,Full,20,250
8.23807621,4,0,Full,20,250
7.99527359,4,0,Full,20,250
8.232932091,4,0,Full,20,250
7.148530483,4,0,Full,20,250
7.600477695,4,0,Full,20,250
7.553107738,4,0,Full,20,250
8.320063591,4,0,Full,20,250
8.463698387,4,0,Full,20,250
8.014498711,4,0,Full,20,250
8.397565842,4,0,Full,20,250
8.472504616,4,0,Full,20,250
8.486055374,4,0,Full,20,250
7.716660023,4,0,Full,20,250
7.176843643,4,0,Full,20,250
7.457899094,4,0,Full,20,250
6.922468185,4,0,Full,20,250
8.201160431,4,1,Pilot,20,250
7.993730545,4,1,Pilot,20,250
8.183943748,4,1,Pilot,20,250
7.98286581,4,1,Pilot,20,250
8.222395897,4,1,Pilot,20,250
