"","x"
"1",850
"2",852
"3",854
"4",856
"5",858
"6",860
"7",862
"8",864
"9",866
"10",868
"11",870
"12",872
"13",874
"14",876
"15",878
"16",880
"17",882
"18",884
"19",886
"20",888
"21",890
"22",892
"23",894
"24",896
"25",898
"26",900
"27",902
"28",904
"29",906
"30",908
"31",910
"32",912
"33",914
"34",916
"35",918
"36",920
"37",922
"38",924
"39",926
"40",928
"41",930
"42",932
"43",934
"44",936
"45",938
"46",940
"47",942
"48",944
"49",946
"50",948
"51",950
"52",952
"53",954
"54",956
"55",958
"56",960
"57",962
"58",964
"59",966
"60",968
"61",970
"62",972
"63",974
"64",976
"65",978
"66",980
"67",982
"68",984
"69",986
"70",988
"71",990
"72",992
"73",994
"74",996
"75",998
"76",1000
"77",1002
"78",1004
"79",1006
"80",1008
"81",1010
"82",1012
"83",1014
"84",1016
"85",1018
"86",1020
"87",1022
"88",1024
"89",1026
"90",1028
"91",1030
"92",1032
"93",1034
"94",1036
"95",1038
"96",1040
"97",1042
"98",1044
"99",1046
"100",1048
